Anio,Mes,CodigoPais,PaisDestino,CodigoDepto,DepartamentoOrigen,Partida,CantidadUnidades,ValorMilesFOBDol,ValorMilesPesos
2018,Julio,149,Canadá,11,Bogotá,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,755.5,1.92,5580.2
2018,Julio,149,Canadá,25,Cundinamarca,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,376,1.04,3042.99
2018,Julio,245,España,11,Bogotá,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,1503.5,5.23,15034.03
2018,Julio,245,España,25,Cundinamarca,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,60,0.26,739.79
2018,Julio,275,Francia,11,Bogotá,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,10542,31.58,90868.43
2018,Julio,275,Francia,25,Cundinamarca,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,15964.5,59.56,171682.56
2018,Julio,386,Italia,25,Cundinamarca,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,51834.33,160.99,464009.47
2018,Julio,386,Italia,73,Tolima,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,600,1.44,4152.69
2018,Julio,413,Kuwait,11,Bogotá,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,15,0.03,97.99
2018,Julio,573,Países Bajos,11,Bogotá,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,134,0.46,1322.62
2018,Julio,607,Portugal,25,Cundinamarca,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,90,0.2,595.25
2018,Julio,767,Suiza,11,Bogotá,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,1650,5.56,15984.11
2018,Julio,767,Suiza,25,Cundinamarca,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,28077.12,163.06,469921.45
2018,Julio,211,Chile,66,Risaralda,0803902000 - Los demás bananos secos,100,0.92,2638.5
2018,Julio,23,Alemania,47,Magdalena,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",2843619,1312.84,3780919.04
2018,Julio,87,Bélgica,47,Magdalena,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",11485321.78,5336.35,15370570.92
2018,Julio,249,Estados Unidos,47,Magdalena,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",21785539,9840.91,28214870.62
